title,code,stars,genre,director,actor,writer,highest_percentages,highest_age
교회오빠,183132,9.32,다큐멘터리,이호경,이관희,송웅달프로듀서,35,20
패왕별희디오리지널,14448,9.32,드라마,천카이거,장국영,이벽화각본,59,20
모던타임즈,10249,9.32,코미디,찰리채플린,찰리채플린,찰리채플린각본,67,20
코러스,39584,9.32,드라마,크리스토퍼파라티에,제라르쥐노,크리스토퍼파라티에각본,0,0
극장판짱구는못말려:격돌!낙서왕국과얼추네명의용사들,205968,9.31,애니메이션,쿄고쿠타카히코,박영남,None,53,20
뷰티풀투모로우,169561,9.31,드라마,장재혁,박효신,박상규각본,0,0
주먹왕랄프,87307,9.31,애니메이션,리치무어,존C.라일리,필존스턴각본,0,0
폴리스스토리,10746,9.31,액션,성룡,성룡,덩징성각본,100,20
쥬라기공원,13500,9.31,SF,스티븐스필버그,샘닐,마이클크라이튼각본,0,0
라따뚜이,65021,9.31,코미디,브래드버드,패튼오스왈트,브래드버드각본,0,0
다이하드,10012,9.31,액션,존맥티어난,브루스윌리스,제브스튜어트각본,0,0
소울,184517,9.31,애니메이션,피트닥터,제이미폭스,켐프파워각본,49,20
8월의크리스마스,18817,9.31,드라마,허진호,한석규,오승욱각본,50,10
폴란드로간아이들,178434,9.31,다큐멘터리,추상미,이송,채수응프로듀서,31,30
록키,10021,9.31,드라마,존G.아빌드센,실베스터스탤론,실베스터스탤론각본,40,30
반지의제왕:반지원정대,31794,9.31,판타지,피터잭슨,일라이저우드,프랜월시각본,62,20
바이센테니얼맨,28788,9.3,SF,크리스콜럼버스,로빈윌리엄스,니콜라스카잔각본,0,0
바람계곡의나우시카,18052,9.3,애니메이션,미야자키하야오,시마모토스미,미야자키하야오각본,100,20
보디가드,17111,9.3,액션,원규,이연걸,진가상각본,0,0
몬스터주식회사3D,32112,9.3,애니메이션,피트닥터,존굿맨,댄거슨각본,0,0
엽기적인그녀,31726,9.3,코미디,곽재용,전지현,곽재용각본,100,20
번더스테이지:더무비,176354,9.3,대한민국,박준수,RM,윤지원프로듀서,0,0
